ts,level,reason,EAR,MAR,PERCLOS
2025-09-03 17:12:30,L2,High drowsiness (PERCLOS),0.19904399673542214,0.003331483023263848,0.45180722891566266
2025-09-03 17:12:33,L1,Eyes off-road / Gaze deviation,0.17427989438926134,0.0,0.6213991769547325
2025-09-03 17:12:36,L1,Eyes off-road / Gaze deviation,0.2591187327499646,0.0,0.6497005988023952
2025-09-03 17:12:36,L2,High drowsiness (PERCLOS),0.25063647403732536,0.008949169284353705,0.6368876080691642
2025-09-03 17:12:39,L1,Eyes off-road / Gaze deviation,0.18991508541977442,0.007093727982293874,0.6768867924528302
2025-09-03 17:12:42,L1,Eyes off-road / Gaze deviation,0.21848605183076444,0.01970258215048095,0.6498054474708171
2025-09-03 17:12:42,L2,High drowsiness (PERCLOS),0.2483350448885548,0.009386546413952335,0.6451612903225806
2025-09-03 17:12:45,L1,Eyes off-road / Gaze deviation,0.22751323815827434,0.009131563215295197,0.6589403973509934
2025-09-03 17:12:48,L1,Drowsiness rising (PERCLOS),0.2067953100472982,0.0,0.6729106628242075
2025-09-03 17:12:48,L2,Microsleep / Long eye closure,0.18391626822318727,0.0027573750702586716,0.6789250353606789
2025-09-03 17:12:51,L1,Eyes off-road / Gaze deviation,0.19074954355640866,0.003926477906869161,0.710828025477707
2025-09-03 17:12:54,L1,Eyes off-road / Gaze deviation,0.2077586977223557,0.005819281163947231,0.7408675799086758
2025-09-03 17:12:54,L2,Microsleep / Long eye closure,0.19166500826448496,0.006245773910271412,0.7440811724915445
2025-09-03 17:12:57,L1,Eyes off-road / Gaze deviation,0.22629603510382168,0.007075767064545694,0.7650103519668737
2025-09-03 17:13:00,L1,Eyes off-road / Gaze deviation,0.2125783473600224,0.014298945782379257,0.7850378787878788
2025-09-03 17:13:00,L2,Microsleep / Long eye closure,0.1849745697432353,0.007684990620804723,0.7872539831302718
2025-09-03 17:13:03,L1,Eyes off-road / Gaze deviation,0.22386621539861884,0.0,0.8020924149956408
2025-09-03 17:13:06,L1,Eyes off-road / Gaze deviation,0.22790338699032214,0.009424965659330313,0.8166397415185783
2025-09-03 17:13:06,L2,Microsleep / Long eye closure,0.2292270658296498,0.009520212692299471,0.8179631114675221
2025-09-03 17:13:09,L1,Eyes off-road / Gaze deviation,0.213220224493302,0.009729021935164242,0.829066265060241
2025-09-03 17:13:12,L1,Eyes off-road / Gaze deviation,0.21990083326663656,0.0054862344275516586,0.8400281888653982
2025-09-03 17:13:12,L2,Microsleep / Long eye closure,0.23082372344344804,0.0027272163804089406,0.8410364145658263
2025-09-03 17:13:15,L1,Eyes off-road / Gaze deviation,0.15555125815042237,0.0052612220415072216,0.8396288933068257
2025-09-03 17:13:18,L1,Eyes off-road / Gaze deviation,0.1969192288907703,0.0,0.84875
2025-09-03 17:13:18,L2,Microsleep / Long eye closure,0.24414203675893065,0.006006946396938456,0.849502487562189
2025-09-03 17:13:21,L1,Eyes off-road / Gaze deviation,0.17580425271176164,0.004597397460323637,0.8562980484920165
2025-09-03 17:13:24,L1,Drowsiness rising (PERCLOS),0.19551971608894664,0.0,0.8636363636363636
2025-09-03 17:13:24,L2,Microsleep / Long eye closure,0.1838005054832414,0.0,0.8640939597315436
2025-09-03 17:13:27,L1,Eyes off-road / Gaze deviation,0.1679152569562048,0.0,0.8894444444444445
2025-09-03 17:13:30,L1,Drowsiness rising (PERCLOS),0.2086537247265335,0.0,0.9144444444444444
2025-09-03 17:13:30,L2,High drowsiness (PERCLOS),0.3504320933187749,0.006246950475544242,0.9122222222222223
2025-09-03 17:13:40,L2,High drowsiness (PERCLOS),0.3342933253540095,0.11007408191928134,0.7833333333333333
2025-09-03 17:13:40,L1,Drowsiness rising (PERCLOS),0.2793174471553135,0.07502490254457919,0.7819799777530589
